name,x,y,z,class,size
Loren III,255.08,271.65,24.75,B,7
Hoek IV,268.66,248.81,-23.22,A,8
Delios VII,250.18,232.47,3.29,M,19
Sothis III,212.59,241.67,-0.81,B,16
Alastria,262.01,227.38,14.02,M,7
Regulak IV,244.56,248.44,17.1,M,9
Seros,246.69,268.69,5.28,A,13
Fabrina,197.54,249.28,-7.21,M,1
Cerberus II,269.56,302.95,9.47,C,8
Grazer,251.29,259.23,26.71,A,4
Zadar IV,292.21,255.34,-0.55,C,3
Boreth,245.95,229.5,-5.35,M,3
Ellora homeworld,265.21,245.0,7.76,C,13
Theta 116 VIII,265.69,232.31,0.77,B,8
Morikin VII,214.22,202.29,-26.75,M,7
Akaali homeworld,304.87,271.15,4.79,B,1
Ufandi III,243.89,239.2,-26.94,C,16
Duronom,257.31,232.53,7.49,B,6
Cardassia IV,268.05,255.35,-15.94,M,7
Evora homeworld,227.9,260.57,0.74,B,12
Taresia,295.11,243.76,7.81,C,9
Pythro V,251.39,249.01,49.08,C,11
Koltair IV,249.98,267.49,14.85,C,10
Folnar III,248.16,240.94,27.3,M,1
Psi Upsilon III and IV,271.93,257.88,37.43,C,18
Lemma II,244.95,212.16,9.79,M,4
Klavdia III,274.88,224.14,5.71,B,5
Makus III,207.3,261.76,-21.33,C,9
Golana,239.46,223.26,-2.33,B,17
Rinax,197.02,253.36,-14.46,A,3
Triskelion,300.02,248.68,-8.02,B,16
Norcadia Prime,286.98,240.0,37.41,A,5
Sobras,270.34,234.04,2.29,B,16
Koinonian homeworld,221.05,267.58,-17.52,M,3
New Halana,309.18,290.2,27.49,B,15
Kentanna,229.63,253.98,19.11,M,3
Campor III,252.72,259.74,20.15,M,14
Agaron,245.93,232.28,-40.12,C,16
Lappa IV,267.54,227.0,38.97,M,17
Praxis,256.1,245.96,-11.17,A,18
Setlik III,272.91,232.19,15.56,C,18
Zeta Boötis III,238.64,208.04,50.48,C,14
Maranga IV,272.87,271.09,43.11,B,18
Hurkos III,237.35,264.61,-19.55,M,15
Sauria,271.25,235.43,-28.89,M,15
B'Saari II,251.88,251.08,28.61,A,6
Alderaan,275.5,276.02,2.84,B,15
Talax,254.59,249.86,-10.02,B,18
Galen IV,249.79,229.03,12.42,C,4
Alfa 177,250.4,240.04,-3.26,C,8
Sarona VIII,273.68,283.69,14.03,C,15
Lima-Sierra III,212.48,249.97,1.34,A,3
Fahleena III,254.01,267.12,14.45,A,15
Bilana III,253.02,251.59,-17.89,C,13
Remmil VI,296.81,237.61,28.49,B,9
Platonius,257.38,230.54,13.95,A,2
Thalos VII,298.35,263.63,12.93,B,8
Tau Alpha C,230.95,260.87,-22.35,B,17
Chaltok IV,266.0,280.31,33.99,M,13
Ocampa homeworld,256.43,224.64,-0.27,C,1
New France colony,211.28,266.5,14.56,M,2
Vacca VI,271.19,267.79,-6.46,C,15
Zytchin III,221.49,236.72,5.22,C,12
L-S VI,260.0,273.65,5.94,B,14
Gemulon V,275.89,293.02,-56.4,C,2
Khitomer,188.96,297.27,11.65,B,18
Mariposa,212.94,263.58,39.31,B,7
Kostolain,268.78,246.08,10.8,C,6
Omekla III,287.36,276.68,-19.15,B,14
Donatu V,219.65,257.44,13.0,B,8
Denobula,243.17,283.48,21.19,B,2
Maxia Zeta,248.94,256.61,10.25,A,17
Deneva,261.67,257.96,-1.48,B,5
Rigel III,260.21,265.29,-4.84,A,14
